Site Name ,MARIAHO,,,
Site Number ,2,,,
Logger ,Integrating Light Sensor,,,
Logger Serial Number ,10956,,,
,,,,
,,,,
Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
1,4/12/17, 14:15:00,634,634
2,4/12/17, 14:30:00,392,392
3,4/12/17, 14:45:00,490,490
4,4/12/17, 15:00:00,382,382
5,4/12/17, 15:15:00,240,240
6,4/12/17, 15:30:00,172,172
7,4/12/17, 15:45:00,192,192
8,4/12/17, 16:00:00,154,154
9,4/12/17, 16:15:00,105,105
10,4/12/17, 16:30:00,84,84
11,4/12/17, 16:45:00,58,58
12,4/12/17, 17:00:00,52,52
13,4/12/17, 17:15:00,46,46
14,4/12/17, 17:30:00,18,18
15,4/12/17, 17:45:00,8,8
16,4/12/17, 18:00:00,1,1
17,4/12/17, 18:15:00,0,0
18,4/12/17, 18:30:00,0,0
19,4/12/17, 18:45:00,0,0
20,4/12/17, 19:00:00,0,0
21,4/12/17, 19:15:00,0,0
22,4/12/17, 19:30:00,0,0
23,4/12/17, 19:45:00,0,0
24,4/12/17, 20:00:00,0,0
25,4/12/17, 20:15:00,0,0
26,4/12/17, 20:30:00,0,0
27,4/12/17, 20:45:00,0,0
28,4/12/17, 21:00:00,0,0
29,4/12/17, 21:15:00,0,0
30,4/12/17, 21:30:00,0,0
31,4/12/17, 21:45:00,0,0
32,4/12/17, 22:00:00,0,0
33,4/12/17, 22:15:00,0,0
34,4/12/17, 22:30:00,0,0
35,4/12/17, 22:45:00,0,0
36,4/12/17, 23:00:00,0,0
37,4/12/17, 23:15:00,0,0
38,4/12/17, 23:30:00,0,0
39,4/12/17, 23:45:00,0,0
40,4/12/17, 24:00:00,0,0
41,5/12/17, 00:15:00,0,0
42,5/12/17, 00:30:00,0,0
43,5/12/17, 00:45:00,0,0
44,5/12/17, 01:00:00,0,0
45,5/12/17, 01:15:00,0,0
46,5/12/17, 01:30:00,0,0
47,5/12/17, 01:45:00,0,0
48,5/12/17, 02:00:00,0,0
49,5/12/17, 02:15:00,0,0
50,5/12/17, 02:30:00,0,0
51,5/12/17, 02:45:00,0,0
52,5/12/17, 03:00:00,0,0
53,5/12/17, 03:15:00,0,0
54,5/12/17, 03:30:00,0,0
55,5/12/17, 03:45:00,0,0
56,5/12/17, 04:00:00,0,0
57,5/12/17, 04:15:00,0,0
58,5/12/17, 04:30:00,0,0
59,5/12/17, 04:45:00,0,0
60,5/12/17, 05:00:00,0,0
61,5/12/17, 05:15:00,0,0
62,5/12/17, 05:30:00,0,0
63,5/12/17, 05:45:00,0,0
64,5/12/17, 06:00:00,0,0
65,5/12/17, 06:15:00,0,0
66,5/12/17, 06:30:00,0,0
67,5/12/17, 06:45:00,0,0
68,5/12/17, 07:00:00,0,0
69,5/12/17, 07:15:00,10,10
70,5/12/17, 07:30:00,28,28
71,5/12/17, 07:45:00,43,43
72,5/12/17, 08:00:00,52,52
73,5/12/17, 08:15:00,63,63
74,5/12/17, 08:30:00,108,108
75,5/12/17, 08:45:00,100,100
76,5/12/17, 09:00:00,141,141
77,5/12/17, 09:15:00,179,179
78,5/12/17, 09:30:00,199,199
79,5/12/17, 09:45:00,259,259
80,5/12/17, 10:00:00,284,284
81,5/12/17, 10:15:00,273,273
82,5/12/17, 10:30:00,313,313
83,5/12/17, 10:45:00,269,269
84,5/12/17, 11:00:00,375,375
85,5/12/17, 11:15:00,418,418
86,5/12/17, 11:30:00,459,459
87,5/12/17, 11:45:00,448,448
88,5/12/17, 12:00:00,473,473
89,5/12/17, 12:15:00,497,497
90,5/12/17, 12:30:00,538,538
91,5/12/17, 12:45:00,489,489
92,5/12/17, 13:00:00,558,558
93,5/12/17, 13:15:00,598,598
94,5/12/17, 13:30:00,516,516
95,5/12/17, 13:45:00,696,696
96,5/12/17, 14:00:00,597,597
97,5/12/17, 14:15:00,543,543
98,5/12/17, 14:30:00,461,461
99,5/12/17, 14:45:00,371,371
100,5/12/17, 15:00:00,350,350
101,5/12/17, 15:15:00,273,273
102,5/12/17, 15:30:00,252,252
103,5/12/17, 15:45:00,257,257
104,5/12/17, 16:00:00,193,193
105,5/12/17, 16:15:00,125,125
106,5/12/17, 16:30:00,115,115
107,5/12/17, 16:45:00,93,93
108,5/12/17, 17:00:00,98,98
109,5/12/17, 17:15:00,60,60
110,5/12/17, 17:30:00,27,27
111,5/12/17, 17:45:00,11,11
112,5/12/17, 18:00:00,1,1
113,5/12/17, 18:15:00,0,0
114,5/12/17, 18:30:00,0,0
115,5/12/17, 18:45:00,0,0
116,5/12/17, 19:00:00,0,0
117,5/12/17, 19:15:00,0,0
118,5/12/17, 19:30:00,0,0
119,5/12/17, 19:45:00,0,0
120,5/12/17, 20:00:00,0,0
121,5/12/17, 20:15:00,0,0
122,5/12/17, 20:30:00,0,0
123,5/12/17, 20:45:00,0,0
124,5/12/17, 21:00:00,0,0
125,5/12/17, 21:15:00,0,0
126,5/12/17, 21:30:00,0,0
127,5/12/17, 21:45:00,0,0
128,5/12/17, 22:00:00,0,0
129,5/12/17, 22:15:00,0,0
130,5/12/17, 22:30:00,0,0
131,5/12/17, 22:45:00,0,0
132,5/12/17, 23:00:00,0,0
133,5/12/17, 23:15:00,0,0
134,5/12/17, 23:30:00,0,0
135,5/12/17, 23:45:00,0,0
136,5/12/17, 24:00:00,0,0
137,6/12/17, 00:15:00,0,0
138,6/12/17, 00:30:00,0,0
139,6/12/17, 00:45:00,0,0
140,6/12/17, 01:00:00,0,0
141,6/12/17, 01:15:00,0,0
142,6/12/17, 01:30:00,0,0
143,6/12/17, 01:45:00,0,0
144,6/12/17, 02:00:00,0,0
145,6/12/17, 02:15:00,0,0
146,6/12/17, 02:30:00,0,0
147,6/12/17, 02:45:00,0,0
148,6/12/17, 03:00:00,0,0
149,6/12/17, 03:15:00,0,0
150,6/12/17, 03:30:00,0,0
151,6/12/17, 03:45:00,0,0
152,6/12/17, 04:00:00,0,0
153,6/12/17, 04:15:00,0,0
154,6/12/17, 04:30:00,0,0
