Site Name ,MARIAHO
Site Number ,4
Logger ,Integrating Light Sensor
Logger Serial Number ,10958


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,04/12/2017 , 14:15:00,460,460
2,04/12/2017 , 14:30:00,304,304
3,04/12/2017 , 14:45:00,319,319
4,04/12/2017 , 15:00:00,282,282
5,04/12/2017 , 15:15:00,177,177
6,04/12/2017 , 15:30:00,137,137
7,04/12/2017 , 15:45:00,162,162
8,04/12/2017 , 16:00:00,113,113
9,04/12/2017 , 16:15:00,142,142
10,04/12/2017 , 16:30:00,125,125
11,04/12/2017 , 16:45:00,51,51
12,04/12/2017 , 17:00:00,39,39
13,04/12/2017 , 17:15:00,34,34
14,04/12/2017 , 17:30:00,13,13
15,04/12/2017 , 17:45:00,5,5
16,04/12/2017 , 18:00:00,0,0
17,04/12/2017 , 18:15:00,0,0
18,04/12/2017 , 18:30:00,0,0
19,04/12/2017 , 18:45:00,0,0
20,04/12/2017 , 19:00:00,0,0
21,04/12/2017 , 19:15:00,0,0
22,04/12/2017 , 19:30:00,0,0
23,04/12/2017 , 19:45:00,0,0
24,04/12/2017 , 20:00:00,0,0
25,04/12/2017 , 20:15:00,0,0
26,04/12/2017 , 20:30:00,0,0
27,04/12/2017 , 20:45:00,0,0
28,04/12/2017 , 21:00:00,0,0
29,04/12/2017 , 21:15:00,0,0
30,04/12/2017 , 21:30:00,0,0
31,04/12/2017 , 21:45:00,0,0
32,04/12/2017 , 22:00:00,0,0
33,04/12/2017 , 22:15:00,0,0
34,04/12/2017 , 22:30:00,0,0
35,04/12/2017 , 22:45:00,0,0
36,04/12/2017 , 23:00:00,0,0
37,04/12/2017 , 23:15:00,0,0
38,04/12/2017 , 23:30:00,0,0
39,04/12/2017 , 23:45:00,0,0
40,04/12/2017 , 24:00:00,0,0
41,05/12/2017 , 00:15:00,0,0
42,05/12/2017 , 00:30:00,0,0
43,05/12/2017 , 00:45:00,0,0
44,05/12/2017 , 01:00:00,0,0
45,05/12/2017 , 01:15:00,0,0
46,05/12/2017 , 01:30:00,0,0
47,05/12/2017 , 01:45:00,0,0
48,05/12/2017 , 02:00:00,0,0
49,05/12/2017 , 02:15:00,0,0
50,05/12/2017 , 02:30:00,0,0
51,05/12/2017 , 02:45:00,0,0
52,05/12/2017 , 03:00:00,0,0
53,05/12/2017 , 03:15:00,0,0
54,05/12/2017 , 03:30:00,0,0
55,05/12/2017 , 03:45:00,0,0
56,05/12/2017 , 04:00:00,0,0
57,05/12/2017 , 04:15:00,0,0
58,05/12/2017 , 04:30:00,0,0
59,05/12/2017 , 04:45:00,0,0
60,05/12/2017 , 05:00:00,0,0
61,05/12/2017 , 05:15:00,0,0
62,05/12/2017 , 05:30:00,0,0
63,05/12/2017 , 05:45:00,0,0
64,05/12/2017 , 06:00:00,0,0
65,05/12/2017 , 06:15:00,0,0
66,05/12/2017 , 06:30:00,0,0
67,05/12/2017 , 06:45:00,0,0
68,05/12/2017 , 07:00:00,0,0
69,05/12/2017 , 07:15:00,5,5
70,05/12/2017 , 07:30:00,24,24
71,05/12/2017 , 07:45:00,37,37
72,05/12/2017 , 08:00:00,44,44
73,05/12/2017 , 08:15:00,59,59
74,05/12/2017 , 08:30:00,90,90
75,05/12/2017 , 08:45:00,112,112
76,05/12/2017 , 09:00:00,175,175
77,05/12/2017 , 09:15:00,227,227
78,05/12/2017 , 09:30:00,239,239
79,05/12/2017 , 09:45:00,345,345
80,05/12/2017 , 10:00:00,381,381
81,05/12/2017 , 10:15:00,400,400
82,05/12/2017 , 10:30:00,481,481
83,05/12/2017 , 10:45:00,348,348
84,05/12/2017 , 11:00:00,464,464
85,05/12/2017 , 11:15:00,514,514
86,05/12/2017 , 11:30:00,432,432
87,05/12/2017 , 11:45:00,421,421
88,05/12/2017 , 12:00:00,514,514
89,05/12/2017 , 12:15:00,572,572
90,05/12/2017 , 12:30:00,542,542
91,05/12/2017 , 12:45:00,352,352
92,05/12/2017 , 13:00:00,307,307
93,05/12/2017 , 13:15:00,360,360
94,05/12/2017 , 13:30:00,157,157
95,05/12/2017 , 13:45:00,73,73
96,05/12/2017 , 14:00:00,0,0
97,05/12/2017 , 14:15:00,0,0
98,05/12/2017 , 14:30:00,0,0
99,05/12/2017 , 14:45:00,0,0
100,05/12/2017 , 15:00:00,0,0
101,05/12/2017 , 15:15:00,0,0
102,05/12/2017 , 15:30:00,0,0
103,05/12/2017 , 15:45:00,0,0
104,05/12/2017 , 16:00:00,0,0
105,05/12/2017 , 16:15:00,0,0
106,05/12/2017 , 16:30:00,0,0
107,05/12/2017 , 16:45:00,0,0
108,05/12/2017 , 17:00:00,0,0
109,05/12/2017 , 17:15:00,0,0
110,05/12/2017 , 17:30:00,0,0
111,05/12/2017 , 17:45:00,0,0
112,05/12/2017 , 18:00:00,0,0
